label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,_noref_stop_rate,_total_steps,_n_veh_onsets,_n_lm_onsets,_reached_goal,_seed
memth|0.03,20260707,0.25432783357245337,0.09189423076923077,30.79268292682927,0.9090909090909091,0.6038800000000663,0.8461538461538461,6.6205247668579625,9.323144104803493,0.6987577639751553,0.1187261508653292,0.011477761836441894,24.456521739130434,5576,11,26,True,20260707
memth|0.04,20260709,0.24721733021077283,0.05290000000000001,31.50783642586921,0.8333333333333334,0.7398000000000706,0.8461538461538461,6.406630192758062,9.318777292576419,1.331245105716523,0.12222424292627845,0.006125022518465141,23.88410336726703,5551,6,26,True,20260709
memth|0.04,20260708,0.2508269869619575,0.09203333333333331,31.39846401143061,0.8125,0.635246153846201,0.8518518518518519,6.460436470798357,9.263829787234043,1.5255530129672006,0.12264166602148105,0.017145918914091802,24.86651411136537,5599,16,27,True,20260708
memth|0.04,20260707,0.25474146211312704,0.07959375,31.1988616150836,0.6428571428571429,0.3077111111110816,0.96875,6.591819228032729,9.17094017094017,1.2067578439259854,0.12100469012977907,0.014941302027748132,25.583266291230895,5622,14,32,True,20260707
memth|0.03,20260706,0.25610362931642,0.061614,32.82241014799154,0.9090909090909091,0.3938800000001038,1.0,6.602269221282594,9.601731601731602,0.7434944237918215,0.13043934273871816,0.011627906976744186,25.799256505576206,5676,11,25,True,20260706
memth|0.04,20260705,0.25688394135102116,0.08479907407407408,31.750741839762615,0.9047619047619048,0.6424842105263039,0.9629629629629629,6.6480072787572,9.119341563786008,1.019607843137255,0.12417328856751318,0.020946063885494852,28.3921568627451,5729,21,27,True,20260705
memth|0.03,20260705,0.25766528349132534,0.06621838235294117,30.853156859238062,0.9166666666666666,0.5389636363636069,0.8529411764705882,6.752732051511359,8.695833333333333,1.097972972972973,0.11795761786984363,0.011804686102664998,26.26689189189189,5591,12,34,True,20260705
memth|0.04,20260706,0.25822805263157894,0.13704895833333333,30.982456140350877,0.8235294117647058,0.5127571428571238,0.9166666666666666,6.624316596491228,10.32882882882883,1.348314606741573,0.12160229774339003,0.01719298245614035,26.89138576779026,5700,17,24,True,20260706
memth|0.03,20260708,0.2535130195381883,0.06378709677419354,32.20248667850799,0.9285714285714286,0.5360307692307804,0.967741935483871,6.533538419182949,10.008849557522124,1.0471204188481675,0.12708118724346631,0.014564831261101243,24.457741211667912,5630,14,31,True,20260708
memth|0.03,20260709,0.26235530569219956,0.10732890625,31.254392129304286,0.6666666666666666,0.3559199999999464,0.9375,6.7632442902319045,9.767543859649123,0.777000777000777,0.12173487380859253,0.015811665495432184,26.65112665112665,5692,15,32,True,20260709
memth|0.06,20260705,0.12177840430510062,0.156595,8.072063640617689,0.16,0.5449000000000481,0.28,3.116360949929808,11.497005988023952,2.13903743315508,0.04161407120047479,0.03369209171736079,7.4866310160427805,4274,25,25,True,20260705
memth|0.06,20260706,0.11594522352941176,0.07146176470588235,8.282352941176471,0.36363636363636365,0.0,0.058823529411764705,2.9708533647058823,11.311764705882354,1.787487586891758,0.042539582512619196,0.014352941176470587,8.440913604766633,4250,11,17,True,20260706
memth|0.06,20260709,0.1160011518570757,0.12224875000000002,8.603667136812412,0.35714285714285715,1.081979999999953,0.1,2.993582487070992,10.395604395604396,2.3517382413087935,0.04366834378035089,0.019746121297602257,9.611451942740286,4254,14,20,True,20260709
memth|0.06,20260707,0.1177924056494559,0.10698157894736841,8.705718916415837,0.42857142857142855,0.7265333333332743,0.10526315789473684,3.048292289881917,11.1,1.92102454642476,0.04522406938259264,0.009724473257698542,8.32443970117396,4319,7,19,True,20260707
memth|0.06,20260708,0.1211496747211896,0.08152976190476191,9.66542750929368,0.42857142857142855,0.3632666666666182,0.09523809523809523,3.0844924488847587,11.051136363636363,2.414486921529175,0.050057557922819164,0.019516728624535316,8.953722334004025,4304,14,21,True,20260708
memth|0.05,20260706,0.23070222391180384,0.09054895833333332,26.7059494392701,0.6363636363636364,0.04140000000000198,0.9166666666666666,5.98234455426725,9.465437788018432,1.7341040462427744,0.09978219376071042,0.012545143508838624,13.37737407101569,5261,11,24,True,20260706
memth|0.05,20260707,0.22975698563700803,0.08920769230769231,27.644096250699494,0.5714285714285714,0.2849499999999239,0.8846153846153846,5.908145122178698,9.288793103448276,1.131770412287793,0.10782547583887761,0.015295653795933594,12.934518997574779,5361,14,26,True,20260707
memth|0.05,20260705,0.23194945157092395,0.060274107142857136,27.77467930842164,0.7037037037037037,0.2625157894736838,0.8214285714285714,6.01689215467559,9.20796460176991,1.636520241171404,0.10721254063427768,0.02788622420524261,14.21188630490956,5379,27,28,True,20260705
memth|0.05,20260708,0.22739186459697025,0.04400416666666667,27.66037030110342,0.7777777777777778,0.3298857142857311,0.75,5.9406323919955115,8.941704035874439,1.4705882352941175,0.10591633231747406,0.019076117449036843,13.667820069204154,5347,18,24,True,20260708
memth|0.05,20260709,0.23161816802579177,0.09404924242424241,26.72103167077565,0.5454545454545454,0.8598666666666664,0.8787878787878788,5.996177185662811,9.096491228070175,1.0942760942760943,0.10061733292419842,0.012516593969277451,12.373737373737374,5273,11,33,True,20260709
memth|0.07,20260705,0.12177840430510062,0.156595,8.072063640617689,0.16,0.5449000000000481,0.28,3.116360949929808,11.497005988023952,2.13903743315508,0.04161407120047479,0.03369209171736079,7.4866310160427805,4274,25,25,True,20260705
memth|0.07,20260706,0.11594522352941176,0.07146176470588235,8.282352941176471,0.36363636363636365,0.0,0.058823529411764705,2.9708533647058823,11.311764705882354,1.787487586891758,0.042539582512619196,0.014352941176470587,8.440913604766633,4250,11,17,True,20260706
memth|0.07,20260707,0.1177924056494559,0.10698157894736841,8.705718916415837,0.42857142857142855,0.7265333333332743,0.10526315789473684,3.048292289881917,11.1,1.92102454642476,0.04522406938259264,0.009724473257698542,8.32443970117396,4319,7,19,True,20260707
memth|0.07,20260708,0.1211496747211896,0.08152976190476191,9.66542750929368,0.42857142857142855,0.3632666666666182,0.09523809523809523,3.0844924488847587,11.051136363636363,2.414486921529175,0.050057557922819164,0.019516728624535316,8.953722334004025,4304,14,21,True,20260708
memth|0.07,20260709,0.1160011518570757,0.12224875000000002,8.603667136812412,0.35714285714285715,1.081979999999953,0.1,2.993582487070992,10.395604395604396,2.3517382413087935,0.04366834378035089,0.019746121297602257,9.611451942740286,4254,14,20,True,20260709
memth|0.08,20260705,0.12177840430510062,0.156595,8.072063640617689,0.16,0.5449000000000481,0.28,3.116360949929808,11.497005988023952,2.13903743315508,0.04161407120047479,0.03369209171736079,7.4866310160427805,4274,25,25,True,20260705
memth|0.08,20260706,0.11594522352941176,0.07146176470588235,8.282352941176471,0.36363636363636365,0.0,0.058823529411764705,2.9708533647058823,11.311764705882354,1.787487586891758,0.042539582512619196,0.014352941176470587,8.440913604766633,4250,11,17,True,20260706
memth|0.08,20260707,0.1177924056494559,0.10698157894736841,8.705718916415837,0.42857142857142855,0.7265333333332743,0.10526315789473684,3.048292289881917,11.1,1.92102454642476,0.04522406938259264,0.009724473257698542,8.32443970117396,4319,7,19,True,20260707
memth|0.08,20260709,0.1160011518570757,0.12224875000000002,8.603667136812412,0.35714285714285715,1.081979999999953,0.1,2.993582487070992,10.395604395604396,2.3517382413087935,0.04366834378035089,0.019746121297602257,9.611451942740286,4254,14,20,True,20260709
memth|0.08,20260708,0.1211496747211896,0.08152976190476191,9.66542750929368,0.42857142857142855,0.3632666666666182,0.09523809523809523,3.0844924488847587,11.051136363636363,2.414486921529175,0.050057557922819164,0.019516728624535316,8.953722334004025,4304,14,21,True,20260708
incumbent|start,20260705,0.12177840430510062,0.156595,8.072063640617689,0.16,0.5449000000000481,0.28,3.116360949929808,11.497005988023952,2.13903743315508,0.04161407120047479,0.03369209171736079,7.4866310160427805,4274,25,25,True,20260705
incumbent|start,20260707,0.1177924056494559,0.10698157894736841,8.705718916415837,0.42857142857142855,0.7265333333332743,0.10526315789473684,3.048292289881917,11.1,1.92102454642476,0.04522406938259264,0.009724473257698542,8.32443970117396,4319,7,19,True,20260707
incumbent|start,20260706,0.11594522352941176,0.07146176470588235,8.282352941176471,0.36363636363636365,0.0,0.058823529411764705,2.9708533647058823,11.311764705882354,1.787487586891758,0.042539582512619196,0.014352941176470587,8.440913604766633,4250,11,17,True,20260706
incumbent|start,20260708,0.1211496747211896,0.08152976190476191,9.66542750929368,0.42857142857142855,0.3632666666666182,0.09523809523809523,3.0844924488847587,11.051136363636363,2.414486921529175,0.050057557922819164,0.019516728624535316,8.953722334004025,4304,14,21,True,20260708
incumbent|start,20260709,0.1160011518570757,0.12224875000000002,8.603667136812412,0.35714285714285715,1.081979999999953,0.1,2.993582487070992,10.395604395604396,2.3517382413087935,0.04366834378035089,0.019746121297602257,9.611451942740286,4254,14,20,True,20260709
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|9,20260708,0.1056967296511628,0.10596071428571428,7.945736434108527,0.2727272727272727,0.0632666666667016,0.10714285714285714,2.8769971656976745,9.12707182320442,3.9149888143176734,0.03947046080710654,0.015988372093023256,9.507829977628637,4128,11,28,True,20260708
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|9,20260705,0.12486002336448597,0.0970804347826087,9.649532710280374,0.21052631578947367,0.6474500000000063,0.08695652173913043,3.200506799065421,11.028901734104046,3.9603960396039604,0.04843124953182966,0.02663551401869159,9.900990099009901,4280,19,23,True,20260705
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|7,20260709,0.13188104895104896,0.13050833333333334,10.233100233100233,0.42857142857142855,0.18163333333332807,0.0,3.438205407925408,10.69767441860465,6.2944162436548226,0.04957397491811726,0.019580419580419582,11.878172588832488,4290,14,18,True,20260709
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|7,20260707,0.1250100187265918,0.08672980769230769,10.393258426966293,0.5,0.555920000000026,0.2692307692307692,3.2726338014981273,10.320224719101123,7.093596059113301,0.04984237434272399,0.014044943820224719,10.44334975369458,4272,10,26,True,20260707
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|7,20260706,0.13708197513812154,0.05926052631578947,9.760589318600369,0.5,0.21795999999999366,0.05263157894736842,3.565560566298343,10.097297297297297,5.088265835929388,0.047957429848275106,0.013351749539594844,14.122533748701974,4344,10,19,True,20260706
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|9,20260707,0.11024253092293054,0.09238571428571428,8.301617507136061,0.1111111111111111,0.6000000000001364,0.09523809523809523,2.95715404376784,9.25925925925926,2.9443838604143946,0.04160929841045358,0.012844909609895337,8.505997818974919,4204,9,21,True,20260707
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|7,20260708,0.13068363509749303,0.11904886363636363,10.190343546889508,0.21428571428571427,0.4765333333333122,0.18181818181818182,3.4089918755803157,10.236263736263735,5.220061412487206,0.05031125502701683,0.018802228412256268,12.18014329580348,4308,14,22,True,20260708
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|7,20260705,0.13414392458100557,0.08024125,8.985102420856611,0.06666666666666667,0.6000000000001364,0.15,3.518229702048417,10.715116279069768,5.197505197505198,0.04358298310801283,0.02094972067039106,11.746361746361748,4296,15,20,True,20260705
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|9,20260706,0.12791518898740084,0.07072375,9.49603359776015,0.4,0.7699000000000353,0.05,3.300462879141391,11.106508875739644,3.9361702127659575,0.04799460174956692,0.013765748950069996,10.53191489361702,4286,10,20,True,20260706
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|9,20260709,0.11961633722314836,0.10983068181818183,8.54965467968564,0.3076923076923077,0.3199000000000751,0.18181818181818182,3.149876137175518,10.401162790697674,2.912621359223301,0.04287185243260158,0.01809954751131222,9.816612729234087,4199,13,22,True,20260709
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|14,20260706,0.10663546166627107,0.049221,8.497507714217898,0.3,0.35000000000002274,0.0,2.7433546403987656,11.43452380952381,1.9286403085824495,0.0431714954329596,0.014004272489912177,8.389585342333655,4213,10,25,True,20260706
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|14,20260708,0.09364659773984131,0.09295431034482758,8.295263284443376,0.25,0.0,0.06896551724137931,2.4796420774224575,9.76923076923077,1.1764705882352942,0.043273850811075175,0.017311853811012263,6.096256684491978,4159,12,29,True,20260708
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|14,20260707,0.10102481560789912,0.06839999999999999,8.256007613609327,0.25,1.1231333333332714,0.0,2.689776374018558,10.634730538922156,1.366742596810934,0.04257838238832163,0.016654770402093743,7.858769931662871,4203,12,21,True,20260707
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|14,20260709,0.1045282888465205,0.10368750000000002,8.007626310772164,0.25,0.3632666666665803,0.13636363636363635,2.724194327931363,10.462857142857143,1.06951871657754,0.04197086828906739,0.016205910390848427,7.4866310160427805,4196,12,22,True,20260709
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|18,20260705,0.08814032414126753,0.07359750000000001,7.619738751814223,0.2222222222222222,1.0423499999999848,0.0,2.3558340590227385,10.080924855491329,1.6357688113413305,0.03983368772491342,0.02539912917271408,5.997818974918212,4134,18,20,True,20260705
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|18,20260707,0.08992762876809873,0.08009374999999999,8.4500356040826,0.38461538461538464,0.6738800000000538,0.05,2.374384832660812,10.439306358381502,0.9846827133479212,0.04416079354265383,0.018039401851412295,6.673960612691467,4213,13,20,True,20260707
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|14,20260705,0.10757221698113208,0.0622921052631579,8.56132075471698,0.38461538461538464,0.4947000000000685,0.05263157894736842,2.816778561320755,10.601156069364162,1.368421052631579,0.04429815404504125,0.01768867924528302,8.631578947368421,4240,13,19,True,20260705
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|18,20260706,0.09799336758524053,0.07261666666666666,8.010275572162541,0.5333333333333333,0.8123750000000314,0.047619047619047616,2.4867909388136384,10.916201117318435,1.6898608349900597,0.04200555201235319,0.020551144325081736,7.654075546719683,4282,15,21,True,20260706
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|18,20260708,0.09835194681861348,0.04817777777777778,8.85565052231719,0.25,0.6474499999999352,0.05555555555555555,2.5303365384615386,10.710227272727273,1.329243353783231,0.04650897043646591,0.022792022792022793,7.770961145194274,4212,16,18,True,20260708
R1|MEMORY_ACTIVE_ABSENT_STEPS_TH|18,20260709,0.08723281399808246,0.06208913043478261,7.957813998082454,0.4444444444444444,0.4974500000000148,0.043478260869565216,2.3156420901246406,10.08,0.9708737864077669,0.04172034287466802,0.012943432406519654,7.5512405609492985,4172,9,23,True,20260709
R1|PROBE_RELIEF_RATIO|0.2,20260705,0.10083784991766644,0.05126818181818182,9.785932721712538,0.0,nan,0.045454545454545456,2.6625817689955302,10.039772727272727,1.3172338090010975,0.05281492170699128,0.020465772759350742,13.391877058177826,4251,15,22,True,20260705
R1|PROBE_RELIEF_RATIO|0.2,20260708,0.10510565462224308,0.10369199999999999,9.033317691224777,0.3333333333333333,0.0,0.12,2.7137708118254342,10.383333333333333,0.8255933952528379,0.04928967057057413,0.008446738620366025,10.010319917440661,4262,6,25,True,20260708
R1|PROBE_RELIEF_RATIO|0.2,20260706,0.10778264596848934,0.07800892857142858,10.379981464318814,0.38461538461538464,0.6159199999999828,0.0,2.772221501390176,10.71264367816092,1.8292682926829267,0.05609336472749032,0.017608897126969416,17.17479674796748,4316,13,28,True,20260706
R1|PROBE_RELIEF_RATIO|0.3,20260705,0.10078804987061868,0.05113181818181818,9.785932721712538,0.0,nan,0.045454545454545456,2.6202975299929427,10.039772727272727,1.3172338090010975,0.05281492170699128,0.020465772759350742,13.391877058177826,4251,15,22,True,20260705
R1|PROBE_RELIEF_RATIO|0.3,20260708,0.10506464101360864,0.103765,9.033317691224777,0.3333333333333333,0.0,0.12,2.6726266776161425,10.383333333333333,0.8255933952528379,0.04928967057057413,0.008446738620366025,10.010319917440661,4262,6,25,True,20260708
R1|PROBE_RELIEF_RATIO|0.2,20260707,0.10300832183908046,0.07856935483870968,11.195402298850574,0.125,1.9898000000000593,0.03225806451612903,2.6287163218390805,10.186170212765957,1.6983016983016983,0.06063819782924644,0.011034482758620689,16.383616383616385,4350,8,31,True,20260707
R1|PROBE_RELIEF_RATIO|0.3,20260707,0.10294855172413794,0.07855403225806452,11.195402298850574,0.125,1.9898000000000593,0.03225806451612903,2.5826264137931036,10.186170212765957,1.6983016983016983,0.06063819782924644,0.011034482758620689,16.383616383616385,4350,8,31,True,20260707
R1|PROBE_RELIEF_RATIO|0.3,20260706,0.10773167284522706,0.07794910714285715,10.379981464318814,0.38461538461538464,0.6159199999999828,0.0,2.7213120250231695,10.71264367816092,1.8292682926829267,0.05609336472749032,0.017608897126969416,17.17479674796748,4316,13,28,True,20260706
R1|PROBE_RELIEF_RATIO|0.2,20260709,0.10951646271069038,0.08253076923076923,10.320942045716924,0.3333333333333333,0.6265333333333084,0.07692307692307693,2.7833957284691757,10.546961325966851,0.6986027944111777,0.056969933895654974,0.012468252135765412,17.365269461077844,4331,9,13,True,20260709
R1|PROBE_RELIEF_RATIO|0.3,20260709,0.10947432463634266,0.08253653846153847,10.320942045716924,0.3333333333333333,0.6265333333333084,0.07692307692307693,2.7290472177326253,10.546961325966851,0.6986027944111777,0.056969933895654974,0.012468252135765412,17.365269461077844,4331,9,13,True,20260709
R1|PROBE_RELIEF_RATIO|0.5,20260706,0.10511933157008897,0.06599479166666666,7.694157249338783,0.36363636363636365,1.0798499999999933,0.08333333333333333,2.7520844433758116,10.834319526627219,1.053740779768177,0.039713668715827634,0.01586919932676124,7.060063224446786,4159,11,24,True,20260706
R1|PROBE_RELIEF_RATIO|0.5,20260705,0.1082428739416745,0.08175588235294118,8.560677328316087,0.4375,0.3970857142857004,0.058823529411764705,2.774085818438382,10.251366120218579,0.9564293304994688,0.045054334247390006,0.02187206020696143,6.801275239107333,4252,16,17,True,20260705
R1|PROBE_RELIEF_RATIO|0.6,20260706,0.10497167588362587,0.06597708333333334,7.694157249338783,0.36363636363636365,1.0798499999999933,0.08333333333333333,2.729739071892282,10.834319526627219,1.053740779768177,0.039713668715827634,0.01586919932676124,7.060063224446786,4159,11,24,True,20260706
R1|PROBE_RELIEF_RATIO|0.6,20260705,0.10810284571966133,0.08169705882352941,8.560677328316087,0.4375,0.3970857142857004,0.058823529411764705,2.7448577140169332,10.251366120218579,0.9564293304994688,0.045054334247390006,0.02187206020696143,6.801275239107333,4252,16,17,True,20260705
R1|PROBE_RELIEF_RATIO|0.5,20260707,0.11687467771639042,0.08074375,8.402394106813995,0.3333333333333333,0.8173500000000331,0.0,2.913277394106814,11.377142857142857,0.7021063189568706,0.04426309686236726,0.016114180478821363,7.5225677031093285,4344,12,12,True,20260707
R1|PROBE_RELIEF_RATIO|0.5,20260709,0.10664750885478158,0.06033888888888889,8.500590318772137,0.5,0.7959200000000692,0.1111111111111111,2.7294906257378986,10.6045197740113,0.6543075245365322,0.045079323550186554,0.014167650531286895,5.997818974918212,4235,10,18,True,20260709
R1|PROBE_RELIEF_RATIO|0.5,20260708,0.11620135913384012,0.10716250000000001,8.868924211011288,0.35714285714285715,0.6838799999999537,0.0,2.8873868463487677,11.591954022988507,1.3972055888223553,0.04665945143209408,0.018428933425478,7.784431137724551,4341,14,16,True,20260708
R1|PROBE_RELIEF_RATIO|0.6,20260708,0.11605655378944944,0.1071296875,8.868924211011288,0.35714285714285715,0.6838799999999537,0.0,2.852564386086155,11.591954022988507,1.3972055888223553,0.04665945143209408,0.018428933425478,7.784431137724551,4341,14,16,True,20260708
R1|PROBE_RELIEF_RATIO|0.6,20260709,0.10652998819362455,0.06030972222222222,8.500590318772137,0.5,0.7959200000000692,0.1111111111111111,2.7013987249114524,10.6045197740113,0.6543075245365322,0.045079323550186554,0.014167650531286895,5.997818974918212,4235,10,18,True,20260709
R1|PROBE_RELIEF_RATIO|0.6,20260707,0.11673238950276243,0.08092083333333334,8.402394106813995,0.3333333333333333,0.8173500000000331,0.0,2.8774772099447516,11.377142857142857,0.7021063189568706,0.04426309686236726,0.016114180478821363,7.5225677031093285,4344,12,12,True,20260707
R1|SEEV_SAFETY_UNIT|0.56,20260705,0.10006160903316866,0.048473863636363634,9.785932721712538,0.0,nan,0.045454545454545456,2.6661714420136438,10.039772727272727,1.3172338090010975,0.05281492170699128,0.020465772759350742,13.391877058177826,4251,15,22,True,20260705
R1|SEEV_SAFETY_UNIT|0.56,20260708,0.10403144063819803,0.102417,9.080244016893477,0.3333333333333333,0.0,0.12,2.71689685593618,10.383333333333333,0.8255933952528379,0.0494751740391982,0.008446738620366025,10.010319917440661,4262,6,25,True,20260708
R1|SEEV_SAFETY_UNIT|0.56,20260706,0.10688917979610751,0.0766017857142857,10.379981464318814,0.38461538461538464,0.6159199999999828,0.0,2.776511376274328,10.71264367816092,1.8292682926829267,0.05609336472749032,0.017608897126969416,17.17479674796748,4316,13,28,True,20260706
R1|SEEV_SAFETY_UNIT|0.56,20260709,0.10857141537751097,0.07965384615384616,10.320942045716924,0.3333333333333333,0.6265333333333084,0.07692307692307693,2.7881546294158395,10.546961325966851,0.6986027944111777,0.05696748877303893,0.012468252135765412,17.365269461077844,4331,9,13,True,20260709
R1|SEEV_SAFETY_UNIT|0.63,20260705,0.10039623617972242,0.050036363636363636,9.785932721712538,0.0,nan,0.045454545454545456,2.6643147259468365,10.039772727272727,1.3172338090010975,0.05281492170699128,0.020465772759350742,13.391877058177826,4251,15,22,True,20260705
R1|SEEV_SAFETY_UNIT|0.56,20260707,0.10206540229885058,0.07806451612903226,11.195402298850574,0.125,1.9898000000000593,0.03225806451612903,2.6331914022988507,10.186170212765957,1.6983016983016983,0.06063819782924644,0.011034482758620689,16.383616383616385,4350,8,31,True,20260707
R1|SEEV_SAFETY_UNIT|0.63,20260708,0.1045745893946504,0.10357799999999999,9.033317691224777,0.3333333333333333,0.0,0.12,2.71659544814641,10.383333333333333,0.8255933952528379,0.04928967057057413,0.008446738620366025,10.010319917440661,4262,6,25,True,20260708
R1|SEEV_SAFETY_UNIT|0.63,20260706,0.10726941612604264,0.07707767857142857,10.379981464318814,0.38461538461538464,0.6159199999999828,0.0,2.775063554216868,10.71264367816092,1.8292682926829267,0.05609336472749032,0.017608897126969416,17.17479674796748,4316,13,28,True,20260706
R1|SEEV_SAFETY_UNIT|0.63,20260709,0.10888778573077812,0.08030576923076922,10.320942045716924,0.3333333333333333,0.6265333333333084,0.07692307692307693,2.787057053798199,10.546961325966851,0.6986027944111777,0.056969933895654974,0.012468252135765412,17.365269461077844,4331,9,13,True,20260709
R1|SEEV_SAFETY_UNIT|0.63,20260707,0.10241402298850576,0.0783524193548387,11.195402298850574,0.125,1.9898000000000593,0.03225806451612903,2.6316888735632187,10.186170212765957,1.6983016983016983,0.06063819782924644,0.011034482758620689,16.383616383616385,4350,8,31,True,20260707
R1|SEEV_SAFETY_UNIT|0.77,20260705,0.10140933897906375,0.04896931818181818,9.785932721712538,0.0,nan,0.045454545454545456,2.660792731122089,10.039772727272727,1.3172338090010975,0.05281492170699128,0.020465772759350742,13.391877058177826,4251,15,22,True,20260705
R1|SEEV_SAFETY_UNIT|0.77,20260708,0.10570236977944628,0.10369199999999999,9.033317691224777,0.3333333333333333,0.0,0.12,2.710285945565462,10.383333333333333,0.8255933952528379,0.04928967057057413,0.008446738620366025,10.010319917440661,4262,6,25,True,20260708
R1|SEEV_SAFETY_UNIT|0.77,20260706,0.10821635773864689,0.07809464285714286,10.379981464318814,0.38461538461538464,0.6159199999999828,0.0,2.7708923308619093,10.71264367816092,1.8292682926829267,0.05609336472749032,0.017608897126969416,17.17479674796748,4316,13,28,True,20260706
R1|SEEV_SAFETY_UNIT|0.77,20260707,0.10347983908045977,0.07836209677419355,11.195402298850574,0.125,1.9898000000000593,0.03225806451612903,2.626863586206897,10.186170212765957,1.6983016983016983,0.06063819782924644,0.011034482758620689,16.383616383616385,4350,8,31,True,20260707
R1|SEEV_SAFETY_UNIT|0.84,20260705,0.10184994119030817,0.05116477272727273,9.785932721712538,0.0,nan,0.045454545454545456,2.6600596565513994,10.039772727272727,1.3172338090010975,0.05281492170699128,0.020465772759350742,13.391877058177826,4251,15,22,True,20260705
R1|SEEV_SAFETY_UNIT|0.77,20260709,0.11007335488339876,0.0810826923076923,10.320942045716924,0.3333333333333333,0.6265333333333084,0.07692307692307693,2.782502332024937,10.546961325966851,0.6986027944111777,0.056969933895654974,0.012468252135765412,17.365269461077844,4331,9,13,True,20260709
R1|SEEV_SAFETY_UNIT|0.84,20260707,0.10380724137931036,0.07839112903225806,11.195402298850574,0.125,1.9898000000000593,0.03225806451612903,2.6250378620689654,10.186170212765957,1.6983016983016983,0.06063819782924644,0.011034482758620689,16.383616383616385,4350,8,31,True,20260707
R1|SEEV_SAFETY_UNIT|0.84,20260708,0.10607064758329424,0.104604,9.033317691224777,0.3333333333333333,0.0,0.12,2.7106802440168933,10.383333333333333,0.8255933952528379,0.04928967057057413,0.008446738620366025,10.010319917440661,4262,6,25,True,20260708
R1|SEEV_SAFETY_UNIT|0.84,20260709,0.11064225352112676,0.0810576923076923,10.320942045716924,0.3333333333333333,0.6265333333333084,0.07692307692307693,2.7793516970676517,10.546961325966851,0.6986027944111777,0.056969933895654974,0.012468252135765412,17.365269461077844,4331,9,13,True,20260709
