label,seed,veh_share,veh_iw_mean,veh_stop_rate,veh_reaction_prob,veh_reaction_delay_s,lm_share,lm_iw_mean,lm_stop_rate,lm_relief_effect,lm_stop_after_rate,tac_share,tac_iw_mean,tac_stop_rate,tac_risk_mean,noref_share,noref_iw_mean,noref_stop_rate,noref_ep_len,noref_retrieval_per100,cross_share,cross_iw_mean,cross_stop_rate,cross_wait_s
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.48,20260709,0.01300,6.17824,40.74074,0.44444,0.31012,0.02118,2.18708,0.00000,0.08297,0.00000,0.56005,1.94864,1.20327,0.03330,0.21276,2.34286,7.01357,10.27647,1.24434,0.21613,5.88699,32.18263,161.91380
LOOMING_BOOST_PEAK|0.28,20260705,0.01862,5.58200,15.38462,0.23077,0.06327,0.01718,2.24520,5.55556,0.10708,0.22222,0.52578,1.94915,1.72492,0.03553,0.24582,2.56706,7.66990,11.05780,2.13592,0.21862,6.37940,21.72489,209.04700
LOOMING_BOOST_PEAK|0.28,20260706,0.01805,3.69253,14.66667,0.23077,0.41327,0.02214,2.15010,1.08696,0.06866,0.04348,0.56617,1.95516,0.80748,0.03172,0.23027,2.52057,9.40439,9.72928,0.94044,0.19658,5.53759,29.00857,179.67640
LOOMING_BOOST_PEAK|0.28,20260707,0.01508,4.87651,17.46032,0.36364,0.49490,0.02203,2.18695,4.34783,0.07957,0.17391,0.53914,1.95774,0.79929,0.03254,0.23246,2.66852,8.75386,10.69006,1.64779,0.21642,6.02882,23.34071,201.62450
LOOMING_BOOST_PEAK|0.28,20260709,0.01300,6.17097,40.74074,0.44444,0.31012,0.02118,2.18708,0.00000,0.08297,0.00000,0.56005,1.94853,1.20327,0.03330,0.21276,2.34286,7.01357,10.27647,1.24434,0.21613,5.88657,32.18263,161.91380
LOOMING_BOOST_PEAK|0.28,20260708,0.01222,7.89910,21.15385,0.22222,0.00000,0.02163,2.16124,2.17391,0.10458,0.08696,0.52468,1.95728,1.65771,0.03466,0.23883,2.31310,6.69291,11.43195,1.87008,0.22567,6.23779,23.75000,228.46790
LOOMING_BOOST_PEAK|0.42,20260705,0.01862,5.62268,15.38462,0.23077,0.06327,0.01718,2.24520,5.55556,0.10708,0.22222,0.52578,1.94926,1.72492,0.03555,0.24582,2.56864,7.66990,11.05780,2.13592,0.21862,6.37036,21.83406,209.34700
LOOMING_BOOST_PEAK|0.42,20260706,0.01829,4.32977,24.35897,0.38462,0.51000,0.01876,2.29466,1.25000,0.11342,0.05000,0.53927,1.96614,0.82609,0.03257,0.23142,2.84747,10.23303,10.58101,1.21581,0.21899,5.91618,30.83512,199.66360
LOOMING_BOOST_PEAK|0.42,20260707,0.01436,5.00034,18.33333,0.40000,1.02985,0.02203,2.18699,4.34783,0.07930,0.17391,0.53914,1.95719,0.79929,0.03256,0.23246,2.67357,8.75386,10.69006,1.64779,0.21642,6.01944,23.45133,201.92450
LOOMING_BOOST_PEAK|0.42,20260708,0.01081,6.73915,10.86957,0.12500,0.00000,0.01975,2.20550,1.19048,0.09963,0.04762,0.53032,1.95659,1.77305,0.03537,0.23531,2.30911,6.39361,10.92000,1.99800,0.22520,5.94839,23.90397,228.29430
LOOMING_BOOST_PEAK|0.42,20260709,0.01570,3.29278,30.30303,0.36364,0.38258,0.02093,2.16745,0.00000,0.05356,0.00000,0.57303,1.95809,1.24533,0.03325,0.20932,2.33420,7.84091,9.71910,1.59091,0.21075,6.15463,28.55530,200.34610
LOOMING_BOOST_DECAY|0.64,20260705,0.01862,5.58837,15.38462,0.23077,0.06327,0.01718,2.24520,5.55556,0.10708,0.22222,0.52578,1.94992,1.72492,0.03552,0.24582,2.56705,7.66990,11.05780,2.13592,0.21862,6.37940,21.72489,209.04700
LOOMING_BOOST_DECAY|0.64,20260707,0.01436,4.97354,16.66667,0.30000,0.65987,0.02203,2.18699,4.34783,0.07930,0.17391,0.53914,1.95753,0.79929,0.03253,0.23246,2.67357,8.75386,10.69006,1.64779,0.21642,6.02843,23.34071,201.62450
LOOMING_BOOST_DECAY|0.64,20260706,0.01829,4.27145,24.35897,0.38462,0.51000,0.01876,2.29466,1.25000,0.11342,0.05000,0.53927,1.96496,0.82609,0.03254,0.23142,2.84748,10.23303,10.58101,1.21581,0.21899,5.92652,30.72805,199.66360
LOOMING_BOOST_DECAY|0.64,20260709,0.01444,6.20194,40.00000,0.50000,0.30606,0.02118,2.18708,0.00000,0.08297,0.00000,0.56005,1.94886,1.20327,0.03329,0.21276,2.34306,7.01357,10.27647,1.24434,0.21613,5.88657,32.18263,161.91380
LOOMING_BOOST_DECAY|0.64,20260708,0.01517,5.20501,19.69697,0.27273,0.00000,0.02206,2.16243,3.12500,0.10277,0.12500,0.52333,1.95404,1.18577,0.03367,0.22317,2.50958,8.44490,11.85119,1.23584,0.24132,6.67202,25.90476,250.90110
LOOMING_BOOST_DECAY|0.96,20260705,0.02122,4.11960,11.23596,0.12500,0.00000,0.02002,2.14774,2.38095,0.08780,0.09524,0.55042,1.94305,1.25595,0.03264,0.23552,2.43672,7.69231,10.59064,1.41700,0.20667,5.50730,25.72088,204.29880
LOOMING_BOOST_DECAY|0.96,20260706,0.01669,5.23294,22.85714,0.33333,0.26250,0.02194,2.23669,1.08696,0.09596,0.04348,0.53923,1.96592,0.88456,0.03300,0.23873,2.83810,9.79021,10.78035,1.19880,0.21488,5.71862,26.08213,195.38290
LOOMING_BOOST_DECAY|0.96,20260707,0.01436,5.01792,16.66667,0.30000,0.65987,0.02203,2.18699,4.34783,0.07952,0.17391,0.53914,1.95638,0.79929,0.03261,0.23246,2.67375,8.75386,10.69006,1.64779,0.21642,6.03207,23.34071,201.62450
LOOMING_BOOST_DECAY|0.96,20260709,0.01444,6.22700,40.00000,0.50000,0.30606,0.02118,2.18708,0.00000,0.08217,0.00000,0.56005,1.94884,1.20327,0.03331,0.21276,2.34306,7.01357,10.27647,1.24434,0.21613,5.89032,32.18263,161.91380
LOOMING_BOOST_DECAY|0.96,20260708,0.01554,5.59777,18.18182,0.27273,0.00000,0.02355,2.04371,2.00000,0.08285,0.08000,0.53520,1.94768,1.23185,0.03361,0.22722,2.47945,7.77202,10.88372,1.34715,0.22275,6.09401,25.89852,219.49500
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.05,20260705,0.01862,5.59424,15.38462,0.23077,0.06327,0.01718,2.24520,5.55556,0.10708,0.22222,0.52578,1.94937,1.72492,0.03592,0.24582,2.56705,7.66990,11.05780,2.13592,0.21862,6.36972,21.83406,209.34700
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.05,20260706,0.01829,4.27664,24.35897,0.38462,0.51000,0.01876,2.29466,1.25000,0.11342,0.05000,0.53927,1.96492,0.82609,0.03289,0.23142,2.84748,10.23303,10.58101,1.21581,0.21899,5.91637,30.83512,199.66360
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.05,20260707,0.01436,4.97895,18.33333,0.40000,1.02985,0.02203,2.18699,4.34783,0.07930,0.17391,0.53914,1.95703,0.79929,0.03283,0.23246,2.67357,8.75386,10.69006,1.64779,0.21642,6.01898,23.45133,201.92450
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.05,20260709,0.01444,6.20849,40.00000,0.50000,0.30606,0.02118,2.18708,0.00000,0.08297,0.00000,0.56005,1.94904,1.20327,0.03354,0.21276,2.34306,7.01357,10.27647,1.24434,0.21613,5.88699,32.18263,161.91380
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.05,20260708,0.01222,7.91637,21.15385,0.22222,0.00000,0.02163,2.16124,2.17391,0.10458,0.08696,0.52468,1.95716,1.65771,0.03492,0.23883,2.31310,6.69291,11.43195,1.87008,0.22567,6.23858,23.75000,228.46790
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.2,20260705,0.01862,5.59424,15.38462,0.23077,0.06327,0.01718,2.24520,5.55556,0.10708,0.22222,0.52578,1.94937,1.72492,0.03518,0.24582,2.56705,7.66990,11.05780,2.13592,0.21862,6.36972,21.83406,209.34700
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.2,20260707,0.01436,4.97895,18.33333,0.40000,1.02985,0.02203,2.18699,4.34783,0.07930,0.17391,0.53914,1.95703,0.79929,0.03238,0.23246,2.67357,8.75386,10.69006,1.64779,0.21642,6.01898,23.45133,201.92450
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.2,20260706,0.01829,4.27664,24.35897,0.38462,0.51000,0.01876,2.29466,1.25000,0.11342,0.05000,0.53927,1.96439,0.82609,0.03252,0.23142,2.84748,10.23303,10.58101,1.21581,0.21899,5.91637,30.83512,199.66360
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.2,20260709,0.01444,6.20849,40.00000,0.50000,0.30606,0.02118,2.18708,0.00000,0.08297,0.00000,0.56005,1.94885,1.20327,0.03312,0.21276,2.34306,7.01357,10.27647,1.24434,0.21613,5.88699,32.18263,161.91380
ACTR_RISK_CANE_GUIDANCE_RELIEF|0.2,20260708,0.01222,7.91637,21.15385,0.22222,0.00000,0.02163,2.16124,2.17391,0.10458,0.08696,0.52468,1.95681,1.65771,0.03442,0.23883,2.31310,6.69291,11.43195,1.87008,0.22567,6.23858,23.75000,228.46790
ACTR_RISK_LANDMARK_RELIEF|0.04,20260705,0.01862,5.59424,15.38462,0.23077,0.06327,0.01718,2.25354,5.55556,0.10098,0.22222,0.52578,1.94937,1.72492,0.03553,0.24582,2.56705,7.66990,11.05780,2.13592,0.21862,6.37037,21.83406,209.34700
ACTR_RISK_LANDMARK_RELIEF|0.04,20260707,0.01436,4.97895,18.33333,0.40000,1.02985,0.02203,2.19351,4.34783,0.07285,0.17391,0.53914,1.95703,0.79929,0.03258,0.23246,2.67357,8.75386,10.69006,1.64779,0.21642,6.01964,23.45133,201.92450
ACTR_RISK_LANDMARK_RELIEF|0.04,20260706,0.01829,4.27664,24.35897,0.38462,0.51000,0.01876,2.32466,1.25000,0.10606,0.05000,0.53927,1.96473,0.82609,0.03262,0.23142,2.84748,10.23303,10.58101,1.21581,0.21899,5.91830,30.83512,199.66360
ACTR_RISK_LANDMARK_RELIEF|0.04,20260708,0.01222,7.91637,21.15385,0.22222,0.00000,0.02163,2.18887,2.17391,0.09746,0.08696,0.52468,1.95697,1.65771,0.03467,0.23883,2.31310,6.69291,11.43195,1.87008,0.22567,6.24123,23.75000,228.46790
ACTR_RISK_LANDMARK_RELIEF|0.04,20260709,0.01444,6.20849,40.00000,0.50000,0.30606,0.02118,2.20072,0.00000,0.07735,0.00000,0.56005,1.94885,1.20327,0.03332,0.21276,2.34306,7.01357,10.27647,1.24434,0.21613,5.88833,32.18263,161.91380
ACTR_RISK_LANDMARK_RELIEF|0.16,20260707,0.01436,4.97895,18.33333,0.40000,1.02985,0.02203,2.18298,4.34783,0.08948,0.17391,0.53914,1.95703,0.79929,0.03253,0.23246,2.67357,8.75386,10.69006,1.64779,0.21642,6.01857,23.45133,201.92450
ACTR_RISK_LANDMARK_RELIEF|0.16,20260705,0.01862,5.59424,15.38462,0.23077,0.06327,0.01718,2.24008,5.55556,0.11698,0.22222,0.52578,1.94937,1.72492,0.03553,0.24582,2.56705,7.66990,11.05780,2.13592,0.21862,6.36931,21.83406,209.34700
ACTR_RISK_LANDMARK_RELIEF|0.16,20260706,0.01829,4.27664,24.35897,0.38462,0.51000,0.01876,2.28273,1.25000,0.12636,0.05000,0.53927,1.96473,0.82609,0.03257,0.23142,2.84748,10.23303,10.58101,1.21581,0.21899,5.91535,30.83512,199.66360
ACTR_RISK_LANDMARK_RELIEF|0.16,20260709,0.01444,6.20849,40.00000,0.50000,0.30606,0.02118,2.18708,0.00000,0.09015,0.00000,0.56005,1.94885,1.20327,0.03328,0.21276,2.34306,7.01357,10.27647,1.24434,0.21613,5.88699,32.18263,161.91380
ACTR_RISK_LANDMARK_RELIEF|0.16,20260708,0.01222,7.91637,21.15385,0.22222,0.00000,0.02163,2.16124,2.17391,0.11516,0.08696,0.52468,1.95697,1.65771,0.03467,0.23883,2.31310,6.69291,11.43195,1.87008,0.22567,6.23858,23.75000,228.46790
MEMORY_ACTIVE_RETRIEVAL_TH|0.066,20260705,0.03369,5.15596,9.72222,0.16000,0.54490,0.02340,2.32760,7.00000,0.15660,0.28000,0.53252,1.95578,1.36204,0.03357,0.21876,2.40575,7.48663,11.49701,2.13904,0.24380,6.31027,23.12860,235.36410
MEMORY_ACTIVE_RETRIEVAL_TH|0.066,20260706,0.01435,3.37684,31.14754,0.36364,0.00000,0.01600,2.16259,1.47059,0.07146,0.05882,0.53694,1.96593,1.09553,0.03284,0.23694,2.44226,8.44091,11.31176,1.78749,0.21953,6.03377,25.93783,219.07790
MEMORY_ACTIVE_RETRIEVAL_TH|0.066,20260707,0.00972,5.76077,23.80952,0.42857,0.72653,0.01760,2.22636,2.63158,0.10698,0.10526,0.54040,1.95379,1.11397,0.03366,0.21695,2.64216,8.32444,11.10000,1.92102,0.23038,6.06528,27.23618,240.37000
MEMORY_ACTIVE_RETRIEVAL_TH|0.066,20260708,0.01952,5.04759,28.57143,0.42857,0.36327,0.01952,2.15403,2.38095,0.08153,0.09524,0.53764,1.96180,1.38289,0.03415,0.23095,2.70230,8.95372,11.05114,2.41449,0.22444,6.20484,30.43478,213.87260
MEMORY_ACTIVE_RETRIEVAL_TH|0.066,20260709,0.01975,5.45519,21.42857,0.35714,1.08198,0.01881,2.28796,2.50000,0.12225,0.10000,0.53714,1.95874,1.31291,0.03527,0.22990,2.83847,9.61145,10.39560,2.35174,0.22496,5.66050,25.28736,215.20940
MEMORY_ACTIVE_RETRIEVAL_TH|0.044,20260705,0.01568,6.12383,35.29412,0.86667,0.47065,0.02361,7.87311,26.56250,0.05783,0.87500,0.57148,7.50759,32.89219,0.22514,0.22524,2.46507,22.60442,9.01762,0.81900,0.15864,6.42502,33.02326,186.03620
MEMORY_ACTIVE_RETRIEVAL_TH|0.044,20260706,0.01096,7.51188,40.00000,0.60000,0.21327,0.02046,7.43180,34.82143,0.04752,0.96429,0.56010,7.54803,32.35486,0.22571,0.22506,2.46510,22.40260,9.69163,0.97403,0.17793,6.38963,33.77823,202.65680
MEMORY_ACTIVE_RETRIEVAL_TH|0.044,20260707,0.00961,6.71890,20.75472,0.80000,0.97730,0.01668,7.82026,29.34783,0.05958,0.82609,0.56682,7.52204,32.88548,0.22544,0.22520,2.40721,22.30274,8.80000,1.04670,0.16464,5.85332,33.25991,215.90910
MEMORY_ACTIVE_RETRIEVAL_TH|0.044,20260708,0.00977,6.57824,38.88889,0.77778,0.10991,0.02026,7.88992,26.78571,0.08060,0.85714,0.56647,7.53328,32.56705,0.22397,0.22536,2.17611,20.70626,9.66964,0.88283,0.17164,5.96428,37.40780,212.03700
MEMORY_ACTIVE_RETRIEVAL_TH|0.044,20260709,0.01041,7.43683,31.57895,0.70000,0.64986,0.01826,7.94390,28.00000,0.06710,0.80000,0.55194,7.53594,32.68277,0.22558,0.23480,2.39609,20.52877,9.93665,1.47745,0.17290,6.16438,37.06441,201.18490
